"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20"
2003,"Month","Fleet",3,0,"Enter","Enter","Enter",242,0.0685400959561343,3.01576422206991,9.04729266620973,32.2823851953393,10.2810143934202,1.43934201507882,3.42700479780672,0.753941055517478,0.274160383824537,0.0685400959561343,0.0685400959561343,0.274160383824537,0,0,0,0,0,0,0,0,0,0.137080191912269,2.3989033584647,6.92254969156957,19.9451679232351,6.10006854009596,2.74160383824537,0.205620287868403,0.205620287868403,0.0685400959561343,0.205620287868403,0.0685400959561343,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",3,0,"Enter","Enter","Enter",223,0.448430493273543,3.28849028400598,10.3139013452915,16.7414050822123,12.7055306427504,4.93273542600897,3.28849028400598,1.04633781763827,0.149476831091181,0.298953662182362,0,0,0,0,0,0,0,0,0,0,0,0,3.1390134529148,10.1644245142003,14.2002989536622,9.26756352765321,5.68011958146487,3.1390134529148,0.448430493273543,0,0,0.747384155455904,0,0,0,0,0,0,0,0,0,0
2005,"Month","Fleet",3,0,"Enter","Enter","Enter",278,0,1.44230769230769,5.64903846153846,7.93269230769231,16.3461538461538,19.3509615384615,9.97596153846154,3.48557692307692,0.480769230769231,0.240384615384615,0.240384615384615,0.120192307692308,0,0.120192307692308,0,0,0,0,0,0,0,0,1.68269230769231,4.6875,5.28846153846154,13.3413461538462,6.12980769230769,3.125,0.240384615384615,0.120192307692308,0,0,0,0,0,0,0,0,0,0,0,0
2006,"Month","Fleet",3,0,"Enter","Enter","Enter",299,0.0870322019147084,0.261096605744125,5.30896431679721,5.83115752828547,11.1401218450827,16.3620539599652,10.443864229765,5.83115752828547,2.78503046127067,0.348128807658834,0.261096605744125,0.522193211488251,0,0,0,0,0,0,0,0,0,0,0.261096605744125,2.69799825935596,7.04960835509138,6.61444734551784,12.8807658833768,6.1792863359443,2.43690165361184,2.61096605744125,0.0870322019147084,0,0,0,0,0,0,0,0,0,0,0
2007,"Month","Fleet",3,0,"Enter","Enter","Enter",249,0,1.55642023346304,8.36575875486381,10.5058365758755,9.92217898832685,10.3112840466926,11.8677042801556,6.22568093385214,5.25291828793774,10.7003891050584,0.389105058365759,0.389105058365759,0.194552529182879,0,0,0,0,0,0,0,0,0,1.55642023346304,3.69649805447471,5.05836575875486,4.28015564202335,3.11284046692607,2.52918287937743,2.91828793774319,0.583657587548638,0.583657587548638,0,0,0,0,0,0,0,0,0,0,0
2008,"Month","Fleet",3,0,"Enter","Enter","Enter",273,1.26582278481013,5.48523206751055,6.11814345991561,4.85232067510549,8.64978902953587,13.2911392405063,11.1814345991561,9.70464135021097,4.21940928270042,2.9535864978903,0.210970464135021,0.421940928270042,0.210970464135021,0,0.210970464135021,0,0,0,0,0,0,2.10970464135021,6.54008438818565,5.48523206751055,2.10970464135021,4.43037974683544,2.53164556962025,3.79746835443038,1.68776371308017,2.32067510548523,0,0.210970464135021,0,0,0,0,0,0,0,0,0,0
2009,"Month","Fleet",3,0,"Enter","Enter","Enter",218,0,14.7916666666667,6.04166666666667,3.33333333333333,3.54166666666667,13.9583333333333,10,3.75,6.66666666666667,1.25,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,21.6666666666667,3.75,3.33333333333333,1.45833333333333,1.45833333333333,3.54166666666667,0.416666666666667,0.208333333333333,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0
2010,"Month","Fleet",3,0,"Enter","Enter","Enter",273,0.538793103448276,4.0948275862069,37.3922413793103,13.7931034482759,5.92672413793103,1.61637931034483,1.93965517241379,1.40086206896552,1.40086206896552,0.21551724137931,0.431034482758621,0.21551724137931,0.21551724137931,0,0,0.323275862068966,0,0,0,0,0,0,5.81896551724138,19.6120689655172,4.0948275862069,0.21551724137931,0.107758620689655,0.538793103448276,0,0.107758620689655,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Month","Fleet",3,0,"Enter","Enter","Enter",308,0,11.2136266855926,4.40028388928318,21.6465578424414,7.8069552874379,3.40667139815472,0.92264017033357,2.8388928317956,1.06458481192335,0.7097232079489,0.14194464158978,0.07097232079489,0.49680624556423,0,0,0,0,0,0,0,0,0,9.36834634492548,16.3946061036196,13.3427963094393,3.33569907735983,1.70333569907736,0.14194464158978,0.28388928317956,0.21291696238467,0.35486160397445,0.07097232079489,0.07097232079489,0,0,0,0,0,0,0,0,0
2012,"Month","Fleet",3,0,"Enter","Enter","Enter",225,0,14.9868536371604,6.66082383873795,8.06310254163015,9.90359333917616,13.8475021910605,3.76862401402279,0.438212094653812,0.175284837861525,0.525854513584575,2.71691498685364,1.13935144609991,0,0,0,0,0,0,0,0,0,0,1.31463628396144,7.36196319018405,9.55302366345311,5.17090271691499,7.27432077125329,0.876424189307625,6.13496932515337,0,0,0.0876424189307625,0,0,0,0,0,0,0,0,0,0
2013,"Month","Fleet",3,0,"Enter","Enter","Enter",251,2.55813953488372,5.34883720930233,10.4651162790698,15,15.9302325581395,6.74418604651163,5.34883720930233,1.04651162790698,0.232558139534884,0.930232558139535,3.48837209302326,1.3953488372093,0,0.232558139534884,0,0,0,0,0,0,0,0,4.41860465116279,4.76744186046512,11.046511627907,6.97674418604651,1.86046511627907,0.465116279069767,0,0.348837209302326,0,1.16279069767442,0.232558139534884,0,0,0,0,0,0,0,0,0
2014,"Month","Fleet",3,0,"Enter","Enter","Enter",221,0.327868852459016,10.8196721311475,8.27868852459016,7.04918032786885,8.11475409836066,18.5245901639344,15.4098360655738,2.45901639344262,3.77049180327869,0,0,0,0.0819672131147541,0.0819672131147541,0,2.21311475409836,0,0,0,0,0,0.327868852459016,10.5737704918033,4.0983606557377,3.52459016393443,1.31147540983607,2.13114754098361,0.327868852459016,0.0819672131147541,0.0819672131147541,0,0,0.409836065573771,0,0,0,0,0,0,0,0,0
2015,"Month","Fleet",3,0,"Enter","Enter","Enter",242,0,10.5548037889039,16.2381596752368,5.00676589986468,7.03653585926928,4.87144790257104,12.7198917456022,5.27740189445196,1.62381596752368,0.54127198917456,0.13531799729364,0.13531799729364,0.27063599458728,0.27063599458728,0,0,0,0,0,0,0,0,5.27740189445196,13.531799729364,5.00676589986468,2.16508795669824,1.89445196211096,4.19485791610284,3.24763193504736,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Month","Fleet",3,0,"Enter","Enter","Enter",204,0,6.05714285714286,21.2571428571429,12.8,3.77142857142857,1.6,2.05714285714286,2.97142857142857,4.34285714285714,1.14285714285714,0.114285714285714,0.457142857142857,0,0.457142857142857,0,1.14285714285714,0,0,0,0,0,0,5.71428571428571,4.11428571428571,12.4571428571429,1.37142857142857,8.34285714285714,7.88571428571429,0.571428571428571,1.25714285714286,0.114285714285714,0,0,0,0,0,0,0,0,0,0,0
2018,"Month","Fleet",3,0,"Enter","Enter","Enter",105,0.130208333333333,3.38541666666667,8.33333333333333,2.86458333333333,9.765625,4.81770833333333,3.38541666666667,1.43229166666667,0.390625,0.130208333333333,1.953125,0.390625,0,0,0,0,0,0,0,0,0,0.130208333333333,2.08333333333333,6.11979166666667,1.30208333333333,2.60416666666667,0.78125,0.390625,0.911458333333333,0,0,48.6979166666667,0,0,0,0,0,0,0,0,0,0
2019,"Month","Fleet",3,0,"Enter","Enter","Enter",93,0,23.8589211618257,4.149377593361,5.18672199170125,10.1659751037344,11.2033195020747,6.84647302904564,1.03734439834025,0.622406639004149,1.2448132780083,6.84647302904564,3.3195020746888,0.4149377593361,3.3195020746888,0,0,0,0,0,0,0,0,10.5809128630705,2.69709543568465,0,1.2448132780083,1.6597510373444,3.7344398340249,1.03734439834025,0.829875518672199,0,0,0,0,0,0,0,0,0,0,0,0
